Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1423788,Bank account or service,Checking account,Problems caused by my funds being low,,CA,90002,Phone,6/16/2015,6/17/2015,Wells Fargo,Closed with monetary relief,Yes,
1423759,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,AZ,85122,Web,6/16/2015,6/16/2015,Experian,Closed,Yes,
1424189,Consumer loan,Vehicle loan,Managing the loan or lease,,VA,22042,Web,6/16/2015,6/16/2015,Navy FCU,In progress,Yes,
1423949,Payday loan,,Received a loan I didn't apply for,,LA,71203,Web,6/16/2015,6/16/2015,Speedy Cash Holdings,Closed with explanation,Yes,
1423803,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,WA,98101,Web,6/16/2015,6/16/2015,Allied Interstate LLC,Closed with non-monetary relief,Yes,
1423946,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,IL,60563,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,Yes
1423881,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,TX,76093,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,
1423827,Student loan,Non-federal student loan,Dealing with my lender or servicer,,OH,43081,Web,6/16/2015,6/16/2015,Citibank,Closed with explanation,Yes,
1423923,Debt collection,Medical,Communication tactics,Threatened to take legal action,WA,98682,Web,6/16/2015,6/16/2015,"Asset Recovery Group, Inc.",Closed with explanation,Yes,
1423902,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,TX,77389,Web,6/16/2015,6/16/2015,Ocwen,Closed with explanation,Yes,
1423917,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,CA,91359,Web,6/16/2015,6/16/2015,"Community Choice Financial, Inc.",Closed with explanation,Yes,Yes
1424176,Credit reporting,,Incorrect information on credit report,Personal information,FL,32701,Web,6/16/2015,6/19/2015,Equifax,Closed with explanation,Yes,
1423952,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,98001,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,
1423951,Credit reporting,,Incorrect information on credit report,Information is not mine,WA,98001,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1424101,Debt collection,,Cont'd attempts collect debt not owed,Debt resulted from identity theft,WI,53703,Web,6/16/2015,6/16/2015,"Enova International, Inc.",Closed with explanation,Yes,
1423983,Bank account or service,Checking account,Problems caused by my funds being low,,NJ,8721,Referral,6/16/2015,6/17/2015,TD Bank,Closed with explanation,Yes,
1424075,Credit reporting,,Incorrect information on credit report,Account status,MD,21702,Web,6/16/2015,6/19/2015,Equifax,Closed with non-monetary relief,Yes,
1424015,Credit reporting,,Incorrect information on credit report,Information is not mine,IL,60612,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1424054,Credit reporting,,Incorrect information on credit report,Public record,GA,30294,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1424384,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,TX,76107,Web,6/16/2015,6/19/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1424410,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,92656,Web,6/16/2015,6/17/2015,"Servis One, Inc.",Closed with explanation,Yes,Yes
1424321,Credit reporting,,Credit monitoring or identity protection,Account terms and changes,IL,60465,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
1424311,Credit reporting,,Incorrect information on credit report,Information is not mine,GA,30189,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,
1424332,Credit reporting,,Incorrect information on credit report,Account terms,OH,45246,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,Yes
1424356,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,DE,19802,Web,6/16/2015,6/16/2015,Equifax,Closed with non-monetary relief,Yes,
1424375,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NV,89145,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
1424366,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,NY,11203,Web,6/16/2015,6/16/2015,"Southwest Credit Systems, L.P.",In progress,Yes,
1424396,Credit reporting,,Incorrect information on credit report,Account status,TX,77072,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
1424400,Credit reporting,,Incorrect information on credit report,Account terms,MO,64138,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1424391,Credit reporting,,Credit reporting company's investigation,Investigation took too long,CO,80010,Web,6/16/2015,6/17/2015,Equifax,Closed with explanation,Yes,
1424388,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,ME,4062,Web,6/16/2015,6/22/2015,"The Thomas Agency, Inc.",Closed with explanation,Yes,
1424395,Credit reporting,,Incorrect information on credit report,Account status,TX,77072,Web,6/16/2015,6/16/2015,Equifax,In progress,Yes,
1424394,Credit reporting,,Incorrect information on credit report,Account status,TX,77072,Web,6/16/2015,6/16/2015,TransUnion,In progress,Yes,
1424398,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,NC,28645,Web,6/16/2015,6/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
